"goods_nomenclature_item_id";"regexp_replace"
"0101100000";"Pure-bred breeding animals"
"0101110000";"Horses"
"0101110000";"Pure-bred breeding animals"
"0101190000";"Other"
"0101200000";"Asses, mules and hinnies"
"0101210000";"Horses"
"0101210000";"Pure-bred breeding animals"
"0101290000";"Other"
"0101300000";"Asses"
"0101900000";"Other"
"0102100000";"Pure-bred breeding animals"
"0102210000";"Cattle"
"0102210000";"Pure-bred breeding animals"
"0102290000";"Other"
"0102310000";"Buffalo"
"0102310000";"Pure-bred breeding animals"
"0102390000";"Other"
"0102900000";"Other"
"0103100000";"Pure-bred breeding animals"
"0103910000";"Other"
"0103910000";"Weighing less than 50|kg"
"0103920000";"Weighing 50|kg or more"
"0104100000";"Sheep"
"0104200000";"Goats"
"0105110000";"Fowls of the species Gallus domesticus"
"0105110000";"Weighing not more than 185|g"
"0105120000";"Turkeys"
"0105130000";"Ducks"
"0105140000";"Geese"
"0105150000";"Guinea fowls"
"0105190000";"Other"
"0105910000";"Fowls of the species Gallus domesticus"
"0105910000";"Other"
"0105920000";"Fowls of the species Gallus domesticus weighing not more than 2000|g"
"0105920000";"Other"
"0105930000";"Fowls of the species Gallus domesticus weighing more than 2 000 g"
"0105940000";"Fowls of the species Gallus domesticus"
"0105940000";"Other"
"0105990000";"Other"
"0106110000";"Mammals"
"0106110000";"Primates"
"0106120000";"Whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia)"
"0106120000";"Whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia); seals, sea lions and walruses (mammals of the suborder Pinnipedia)"
"0106130000";"Camels and other camelids (Camelidae)"
"0106140000";"Rabbits and hares"
"0106190000";"Other"
"0106200000";"Reptiles (including snakes and turtles)"
"0106310000";"Birds"
"0106310000";"Birds of prey"
"0106320000";"Psittaciformes (including parrots, parakeets, macaws and cockatoos)"
"0106330000";"Ostriches; emus (Dromaius novaehollandiae)"
"0106390000";"Other"
"0106410000";"Bees"
"0106410000";"Insects"
"0106490000";"Other"
"0106900000";"Other"
"0201100000";"Carcases and half-carcases"
"0201200000";"Other cuts with bone in"
"0201300000";"Boneless"
"0202100000";"Carcases and half-carcases"
"0202200000";"Other cuts with bone in"
"0202300000";"Boneless"
"0203110000";"Carcases and half-carcases"
"0203110000";"Fresh or chilled"
"0203120000";"Hams, shoulders and cuts thereof, with bone in"
"0203190000";"Other"
"0203210000";"Carcases and half-carcases"
"0203210000";"Frozen"
"0203220000";"Hams, shoulders and cuts thereof, with bone in"
"0203290000";"Other"
"0204100000";"Carcases and half-carcases of lamb, fresh or chilled"
"0204210000";"Carcases and half-carcases"
"0204210000";"Other meat of sheep, fresh or chilled"
"0204220000";"Other cuts with bone in"
"0204230000";"Boneless"
"0204300000";"Carcases and half-carcases of lamb, frozen"
"0204410000";"Carcases and half-carcases"
"0204410000";"Other meat of sheep, frozen"
"0204420000";"Other cuts with bone in"
"0204430000";"Boneless"
"0204500000";"Meat of goats"
"0206100000";"Of bovine animals, fresh or chilled"
"0206210000";"Of bovine animals, frozen"
"0206210000";"Tongues"
"0206220000";"Livers"
"0206290000";"Other"
"0206300000";"Of swine, fresh or chilled"
"0206410000";"Livers"
"0206410000";"Of swine, frozen"
"0206490000";"Other"
"0206800000";"Other, fresh or chilled"
"0206900000";"Other, frozen"
"0207100000";"Poultry not cut in pieces, fresh or chilled"
"0207110000";"Not cut in pieces, fresh or chilled"
"0207110000";"Of fowls of the species Gallus domesticus"
"0207120000";"Not cut in pieces, frozen"
"0207130000";"Cuts and offal, fresh or chilled"
"0207140000";"Cuts and offal, frozen"
"0207210000";"Fowls of the species Gallus domesticus"
"0207210000";"Poultry not cut in pieces, frozen"
"0207220000";"Turkeys"
"0207230000";"Ducks, geese and guinea fowls"
"0207240000";"Not cut in pieces, fresh or chilled"
"0207240000";"Of turkeys"
"0207250000";"Not cut in pieces, frozen"
"0207260000";"Cuts and offal, fresh or chilled"
"0207270000";"Cuts and offal, frozen"
"0207310000";"Fatty livers of geese or ducks"
"0207310000";"Poultry cuts and offal (including livers), fresh or chilled"
"0207320000";"Not cut in pieces, fresh or chilled"
"0207320000";"Of ducks, geese or guinea fowls"
"0207330000";"Not cut in pieces, frozen"
"0207340000";"Fatty livers, fresh or chilled"
"0207350000";"Other, fresh or chilled"
"0207360000";"Other, frozen"
"0207390000";"Other"
"0207410000";"Not cut in pieces, fresh or chilled"
"0207410000";"Of ducks"
"0207410000";"Of fowls of the species Gallus domesticus"
"0207410000";"Poultry cuts and offal other than livers, frozen"
"0207420000";"Not cut in pieces, frozen"
"0207420000";"Of turkeys"
"0207430000";"Fatty livers, fresh or chilled"
"0207430000";"Of ducks, geese or guinea fowls"
"0207440000";"Other, fresh or chilled"
"0207450000";"Other, frozen"
"0207500000";"Poultry livers, frozen"
"0207510000";"Not cut in pieces, fresh or chilled"
"0207510000";"Of geese"
"0207520000";"Not cut in pieces, frozen"
"0207530000";"Fatty livers, fresh or chilled"
"0207540000";"Other, fresh or chilled"
"0207550000";"Other, frozen"
"0207600000";"Of guinea fowls"
"0208100000";"Of rabbits or hares"
"0208200000";"Frogs' legs"
"0208300000";"Of primates"
"0208400000";"Of whales, dolphins and porpoises (mammals of the order Cetacea); of manatees and dugongs (mammals of the order Sirenia)"
"0208400000";"Of whales, dolphins and porpoises (mammals of the order Cetacea); of manatees and dugongs (mammals of the order Sirenia); of seals, sea lions and walruses (mammals of the suborder Pinnipedia)"
"0208500000";"Of reptiles (including snakes and turtles)"
"0208600000";"Of camels and other camelids (Camelidae)"
"0208900000";"Other"
"0209100000";"Of pigs"
"0209900000";"Other"
"0210110000";"Hams, shoulders and cuts thereof, with bone in"
"0210110000";"Meat of swine"
"0210120000";"Bellies (streaky) and cuts thereof"
"0210190000";"Other"
"0210200000";"Meat of bovine animals"
"0210900000";"Other, including edible flours and meals of meat or meat offal"
"0210910000";"Of primates"
"0210910000";"Other, including edible flours and meals of meat or meat offal"
"0210920000";"Of whales, dolphins and porpoises (mammals of the order Cetacea); of manatees and dugongs (mammals of the order Sirenia)"
"0210920000";"Of whales, dolphins and porpoises (mammals of the order Cetacea); of manatees and dugongs (mammals of the order Sirenia); of seals, sea lions and walruses (mammals of the suborder Pinnipedia)"
"0210930000";"Of reptiles (including snakes and turtles)"
"0210990000";"Other"
"0301100000";"Ornamental fish"
"0301110000";"Freshwater fish"
"0301110000";"Ornamental fish"
"0301190000";"Other"
"0301910000";"Other live fish"
"0301910000";"Trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster)"
"0301910000";"Trout (Salmo trutta, Salmo gairdneri, Salmo clarki, Salmo aguabonita, Salmo gilae)"
"0301920000";"Eels (Anguilla spp.)"
"0301920000";"Eels (Anguilla|spp.)"
"0301930000";"Carp"
"0301930000";"Carp (Cyprinus carpio, Carassius carassius, Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus)"
"0301930000";"Carp (Cyprinus carpio, Carassius carassius, Ctenopharyngodon idellus, Hypophthalmichthys|spp., Cirrhinus|spp., Mylopharyngodon piceus)"
"0301930000";"Carp (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.)"
"0301940000";"Atlantic and Pacific bluefin tuna (Thunnus thynnus, Thunnus orientalis)"
"0301940000";"Bluefin tunas (Thunnus thynnus)"
"0301950000";"Southern bluefin tuna (Thunnus maccoyii)"
"0301990000";"Other"
"0302110000";"Salmonidae, excluding edible fish offal of subheadings 0302|91|to 0302|99"
"0302110000";"Salmonidae, excluding livers and roes"
"0302110000";"Trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster)"
"0302110000";"Trout (Salmo trutta, Salmo gairdneri, Salmo clarki, Salmo aguabonita, Salmo gilae)"
"0302120000";"Pacific salmon (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus), Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho)"
"0302120000";"Pacific salmon (Oncorhynchus spp.), Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho)"
"0302130000";"Pacific salmon (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus)"
"0302140000";"Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho)"
"0302190000";"Other"
"0302210000";"Flat fish (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae and Citharidae), excluding edible fish offal of subheadings 0302|91|to 0302|99"
"0302210000";"Flat fish (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae and Citharidae), excluding livers and roes"
"0302210000";"Halibut (Reinhardtius hippoglossoides, Hippoglossus hippoglossus, Hippoglossus stenolepis)"
"0302220000";"Plaice (Pleuronectes platessa)"
"0302230000";"Sole (Solea spp.)"
"0302230000";"Sole (Solea|spp.)"
"0302240000";"Turbot (Psetta maxima)"
"0302240000";"Turbots (Psetta maxima)"
"0302290000";"Other"
"0302310000";"Albacore or longfinned tuna (Thunnus alalunga)"
"0302310000";"Tuna (of the genus Thunnus), skipjack or stripe-bellied bonito (Euthynnus (Katsuwonus) pelamis), excluding livers and roes"
"0302310000";"Tunas (of the genus Thunnus), skipjack or stripe-bellied bonito (Euthynnus (Katsuwonus) pelamis), excluding edible fish offal of subheadings 0302|91|to 0302|99"
"0302310000";"Tunas (of the genus Thunnus), skipjack or stripe-bellied bonito (Euthynnus (Katsuwonus) pelamis), excluding livers and roes"
"0302320000";"Yellowfin tuna (Thunnus albacares)"
"0302320000";"Yellowfin tunas (Thunnus albacares)"
"0302330000";"Skipjack or stripe-bellied bonito"
"0302340000";"Bigeye tuna (Thunnus obesus)"
"0302350000";"Atlantic and Pacific bluefin tuna (Thunnus thynnus, Thunnus orientalis)"
"0302350000";"Bluefin tunas (Thunnus thynnus)"
"0302360000";"Southern bluefin tuna (Thunnus maccoyii)"
"0302390000";"Other"
"0302400000";"Herrings (Clupea harengus, Clupea pallasii), excluding livers and roes"
"0302410000";"Herring (Clupea harengus, Clupea pallasii)"
"0302410000";"Herring (Clupea harengus, Clupea pallasii), anchovies (Engraulis spp.), sardines (Sardina pilchardus, Sardinops spp.), sardinella (Sardinella spp.), brisling or sprats (Sprattus sprattus), mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus), jack and horse mackerel (Trachurus spp.), cobia (Rachycentron canadum) and swordfish (Xiphias gladius), excluding livers and roes"
"0302410000";"Herrings (Clupea harengus, Clupea pallasii)"
"0302410000";"Herrings (Clupea harengus, Clupea pallasii), anchovies (Engraulis spp.), sardines (Sardina pilchardus, Sardinops spp.), sardinella (Sardinella spp.), brisling or sprats (Sprattus sprattus), mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus), Indian mackerels (Rastrelliger spp.), seerfishes (Scomberomorus spp.), jack and horse mackerel (Trachurus spp.), jacks, crevalles (Caranx spp.), cobia (Rachycentron canadum), silver pomfrets (Pampus spp.), Pacific saury (Cololabis saira), scads (Decapterus spp.), capelin (Mallotus villosus), swordfish (Xiphias gladius), Kawakawa (Euthynnus affinis), bonitos (Sarda spp.), marlins, sailfishes, spearfish (Istiophoridae), excluding edible fish offal of subheadings 0302|91|to 0302|99"
"0302420000";"Anchovies (Engraulis spp.)"
"0302430000";"Sardines (Sardina pilchardus, Sardinops spp.), sardinella (Sardinella spp.), brisling or sprats (Sprattus sprattus)"
"0302440000";"Mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus)"
"0302450000";"Jack and horse mackerel (Trachurus spp.)"
"0302460000";"Cobia (Rachycentron canadum)"
"0302470000";"Swordfish (Xiphias gladius)"
"0302490000";"Other"
"0302500000";"Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus), excluding livers and roes"
"0302510000";"Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus)"
"0302510000";"Fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae, excluding edible fish offal of subheadings 0302|91|to 0302|99"
"0302510000";"Fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae, excluding livers and roes"
