Commodity,Suffix,Start,End,Description,Indents
33378,2000000000,80,1971-12-31 00:00:00,,"PREPARATIONS OF VEGETABLES, FRUIT, NUTS OR OTHER PARTS OF PLANTS"
33379,2001000000,80,1972-01-01 00:00:00,,"Vegetables, fruit, nuts and other edible parts of plants, prepared or preserved by vinegar or acetic acid"
33380,2001100000,80,1972-01-01 00:00:00,,Cucumbers and gherkins
33381,2001100011,10,1972-01-01 00:00:00,,Cucumbers
33394,2001900000,80,1972-01-01 00:00:00,,Other
33399,2001903000,80,1972-01-01 00:00:00,,Sweetcorn (Zea mays var. saccharata)
33403,2001905000,80,1972-01-01 00:00:00,,Mushrooms
33407,2001906500,80,1993-01-01 00:00:00,,Olives
33410,2001907000,80,1993-01-01 00:00:00,,Sweet peppers
33491,2002000000,80,1972-01-01 00:00:00,,Tomatoes prepared or preserved otherwise than by vinegar or acetic acid
33492,2002100000,80,1972-01-01 00:00:00,,"Tomatoes, whole or in pieces"
33497,2002900000,80,1972-01-01 00:00:00,,Other
33499,2002901100,10,1994-01-01 00:00:00,,With a dry matter content of less than 12|% by weight
33503,2002903100,10,1994-01-01 00:00:00,,With a dry matter content of not less than 12|% but not more than 30|% by weight
33507,2002909100,10,1994-01-01 00:00:00,,With a dry matter content of more than 30|% by weight
33508,2002909100,80,1994-01-01 00:00:00,,In immediate packings of a net content exceeding 1|kg
33509,2002909900,80,1994-01-01 00:00:00,,In immediate packings of a net content not exceeding 1|kg
33510,2003000000,80,1972-01-01 00:00:00,,"Mushrooms and truffles, prepared or preserved otherwise than by vinegar or acetic acid"
33511,2003100000,80,1972-01-01 00:00:00,,Mushrooms of the genus Agaricus
33545,2004000000,80,1972-01-01 00:00:00,,"Other vegetables prepared or preserved otherwise than by vinegar or acetic acid, frozen, other than products of heading|2006"
33546,2004100000,80,1972-01-01 00:00:00,,Potatoes
33548,2004109100,10,1972-01-01 00:00:00,,Other
33551,2004900000,80,1972-01-01 00:00:00,,Other vegetables and mixtures of vegetables
33553,2004903000,80,1972-01-01 00:00:00,,"Sauerkraut, capers and olives"
33558,2004909100,10,1972-01-01 00:00:00,,"Other, including mixtures"
33597,2005000000,80,1972-01-01 00:00:00,,"Other vegetables prepared or preserved otherwise than by vinegar or acetic acid, not frozen, other than products of heading|2006"
33598,2005100000,80,1972-01-01 00:00:00,,Homogenised vegetables
33615,2005200000,80,1972-01-01 00:00:00,,Potatoes
33617,2005202000,10,1994-01-01 00:00:00,,Other
33625,2005510000,10,1972-01-01 00:00:00,,"Beans (Vigna spp., Phaseolus spp.)"
33634,2005800000,80,1972-01-01 00:00:00,,Sweetcorn (Zea mays var. saccharata)
33667,2006000000,80,1972-01-01 00:00:00,,"Vegetables, fruit, nuts, fruit-peel and other parts of plants, preserved by sugar (drained, glacé or crystallised)"
33669,2006003100,10,1972-01-01 00:00:00,,Other
33670,2006003100,20,1972-01-01 00:00:00,,With a sugar content exceeding 13|% by weight
33671,2006003100,80,1972-01-01 00:00:00,,Cherries
33678,2007000000,80,1972-01-01 00:00:00,,"Jams, fruit jellies, marmalades, fruit or nut purée and fruit or nut pastes, obtained by cooking, whether or not containing added sugar or other sweetening matter"
33679,2007100000,80,1972-01-01 00:00:00,,Homogenised preparations
33680,2007101000,80,1972-01-01 00:00:00,,With a sugar content exceeding 13|% by weight
33698,2007910000,10,1972-01-01 00:00:00,,Other
33699,2007910000,80,1972-01-01 00:00:00,,Citrus fruit
33700,2007911000,80,1972-01-01 00:00:00,,With a sugar content exceeding 30|% by weight
33715,2007990000,80,1972-01-01 00:00:00,,Other
33716,2007991000,10,1972-01-01 00:00:00,,With a sugar content exceeding 30|% by weight
33718,2007992000,80,1972-01-01 00:00:00,,Chestnut purée and paste
33719,2007993100,10,1972-01-01 00:00:00,,Other
33720,2007993100,80,1972-01-01 00:00:00,,Of cherries
33723,2007993300,80,1972-01-01 00:00:00,,Of strawberries
33724,2007993500,80,1972-01-01 00:00:00,,Of raspberries
33725,2007993900,80,1972-01-01 00:00:00,,Other
