Commodity,Suffix,Start,End,Description,Indents
47137,8000000000,80,1971-12-31 00:00:00,,TIN AND ARTICLES THEREOF
47138,8001000000,80,1972-01-01 00:00:00,,Unwrought tin
47148,8007000000,80,1972-01-01 00:00:00,,Other articles of tin
47149,8100000000,80,1971-12-31 00:00:00,,OTHER BASE METALS; CERMETS; ARTICLES THEREOF
47150,8101000000,80,1972-01-01 00:00:00,,"Tungsten (wolfram) and articles thereof, including waste and scrap"
47158,8101990000,80,1972-01-01 00:00:00,,Other
47161,8102000000,80,1972-01-01 00:00:00,,"Molybdenum and articles thereof, including waste and scrap"
47162,8102100000,80,1972-01-01 00:00:00,,Powders
47170,8103000000,80,1972-01-01 00:00:00,,"Tantalum and articles thereof, including waste and scrap"
47174,8103900000,80,1972-01-01 00:00:00,,Other
47178,8103909000,80,1972-01-01 00:00:00,,Other
47181,8104000000,80,1972-01-01 00:00:00,,"Magnesium and articles thereof, including waste and scrap"
47182,8104110000,10,1972-01-01 00:00:00,,Unwrought magnesium
47191,8104300000,80,1972-01-01 00:00:00,,"Raspings, turnings and granules, graded according to size; powders"
47192,8104900000,80,1972-01-01 00:00:00,,Other
47197,8105000000,80,1972-01-01 00:00:00,,"Cobalt mattes and other intermediate products of cobalt metallurgy; cobalt and articles thereof, including waste and scrap"
47201,8105900000,80,1972-01-01 00:00:00,,Other
47202,8106000000,80,1972-01-01 00:00:00,,"Bismuth and articles thereof, including waste and scrap"
47205,8107000000,80,1972-01-01 00:00:00,,"Cadmium and articles thereof, including waste and scrap"
47208,8108000000,80,1972-01-01 00:00:00,,"Titanium and articles thereof, including waste and scrap"
47214,8108900000,80,1972-01-01 00:00:00,,Other
47217,8108903000,80,1972-01-01 00:00:00,,"Bars, rods, profiles and wire"
47218,8108905000,80,1972-01-01 00:00:00,,"Plates, sheets, strip and foil"
47222,8108909000,80,1972-01-01 00:00:00,,Other
47224,8108909091,10,1989-01-01 00:00:00,,Other
47228,8109000000,80,1972-01-01 00:00:00,,"Zirconium and articles thereof, including waste and scrap"
47233,8110000000,80,1972-01-01 00:00:00,,"Antimony and articles thereof, including waste and scrap"
47240,8111000000,80,1972-01-01 00:00:00,,"Manganese and articles thereof, including waste and scrap"
47241,8111001100,10,1972-01-01 00:00:00,,Unwrought manganese; waste and scrap; powders
47139,8001100000,80,1972-01-01 00:00:00,,"Tin, not alloyed"
47248,8112000000,80,1972-01-01 00:00:00,,"Beryllium, chromium, germanium, vanadium, gallium, hafnium, indium, niobium (columbium), rhenium and thallium, and articles of these metals, including waste and scrap"
47277,8112990000,80,1972-01-01 00:00:00,,Other
47279,8112993000,80,1972-01-01 00:00:00,,Niobium (columbium); rhenium
47285,8113000000,80,1972-01-01 00:00:00,,"Cermets and articles thereof, including waste and scrap"
47287,8113009000,80,1972-01-01 00:00:00,,Other
47288,8200000000,80,1971-12-31 00:00:00,,"TOOLS, IMPLEMENTS, CUTLERY, SPOONS AND FORKS, OF BASE METAL; PARTS THEREOF OF BASE METAL"
47289,8201000000,80,1972-01-01 00:00:00,,"Hand tools, the following: spades, shovels, mattocks, picks, hoes, forks and rakes; axes, billhooks and similar hewing tools; secateurs and pruners of any kind; scythes, sickles, hay knives, hedge shears, timber wedges and other tools of a kind used in agriculture, horticulture or forestry"
47297,8202000000,80,1972-01-01 00:00:00,,"Handsaws; blades for saws of all kinds (including slitting, slotting or toothless saw blades)"
47302,8202310000,10,1972-01-01 00:00:00,,Circular saw blades (including slitting or slotting saw blades)
47314,8202910000,10,1972-01-01 00:00:00,,Other saw blades
47322,8202990000,80,1972-01-01 00:00:00,,Other
47327,8203000000,80,1972-01-01 00:00:00,,"Files, rasps, pliers (including cutting pliers), pincers, tweezers, metal-cutting shears, pipe-cutters, bolt croppers, perforating punches and similar hand tools"
