Commodity,Suffix,Start,End,Description,Indents
37614,3000000000,80,1971-12-31 00:00:00,,PHARMACEUTICAL PRODUCTS
37615,3001000000,80,1972-01-01 00:00:00,,"Glands and other organs for organo-therapeutic uses, dried, whether or not powdered; extracts of glands or other organs or of their secretions for organo-therapeutic uses; heparin and its salts; other human or animal substances prepared for therapeutic or prophylactic uses, not elsewhere specified or included"
37619,3001200000,80,1972-01-01 00:00:00,,Extracts of glands or other organs or of their secretions
37622,3001900000,80,1972-01-01 00:00:00,,Other
37624,3001909100,10,1972-01-01 00:00:00,,Other
37627,3002000000,80,1972-01-01 00:00:00,,"Human blood; animal blood prepared for therapeutic, prophylactic or diagnostic uses; antisera, other blood fractions and immunological products, whether or not modified or obtained by means of biotechnological processes; vaccines, toxins, cultures of micro-organisms (excluding yeasts) and similar products"
37654,3002900000,80,1972-01-01 00:00:00,,Other
37657,3002905000,80,1972-01-01 00:00:00,,Cultures of micro-organisms
37658,3002909000,80,1972-01-01 00:00:00,,Other
37661,3003000000,80,1972-01-01 00:00:00,,"Medicaments (excluding goods of heading|3002, 3005|or 3006) consisting of two or more constituents which have been mixed together for therapeutic or prophylactic uses, not put up in measured doses or in forms or packings for retail sale"
37670,3003310000,10,1972-01-01 00:00:00,,"Other, containing hormones or other products of heading|2937"
37684,3004000000,80,1972-01-01 00:00:00,,"Medicaments (excluding goods of heading|3002, 3005|or 3006) consisting of mixed or unmixed products for therapeutic or prophylactic uses, put up in measured doses (including those in the form of transdermal administration systems) or in forms or packings for retail sale"
37701,3004310000,10,1972-01-01 00:00:00,,"Other, containing hormones or other products of heading|2937"
37744,3005000000,80,1972-01-01 00:00:00,,"Wadding, gauze, bandages and similar articles (for example, dressings, adhesive plasters, poultices), impregnated or coated with pharmaceutical substances or put up in forms or packings for retail sale for medical, surgical, dental or veterinary purposes"
37620,3001201000,80,1972-01-01 00:00:00,,Of human origin
37748,3005900000,80,1972-01-01 00:00:00,,Other
37753,3005903100,10,1972-01-01 00:00:00,,Other
37754,3005903100,20,1972-01-01 00:00:00,,Of textile materials
37760,3006000000,80,1972-01-01 00:00:00,,Pharmaceutical goods specified in note|4|to this chapter
37761,3006100000,80,1972-01-01 00:00:00,,"Sterile surgical catgut, similar sterile suture materials (including sterile absorbable surgical or dental yarns) and sterile tissue adhesives for surgical wound closure; sterile laminaria and sterile laminaria tents; sterile absorbable surgical or dental haemostatics; sterile surgical or dental adhesion barriers, whether or not absorbable"
37773,3100000000,80,1971-12-31 00:00:00,,FERTILISERS
37775,3102000000,80,1972-01-01 00:00:00,,"Mineral or chemical fertilisers, nitrogenous"
37776,3102100000,80,1972-01-01 00:00:00,,"Urea, whether or not in aqueous solution"
37782,3102210000,10,1972-01-01 00:00:00,,Ammonium sulphate; double salts and mixtures of ammonium sulphate and ammonium nitrate
37784,3102290000,80,1972-01-01 00:00:00,,Other
37787,3102300000,80,1972-01-01 00:00:00,,"Ammonium nitrate, whether or not in aqueous solution"
37790,3102400000,80,1972-01-01 00:00:00,,Mixtures of ammonium nitrate with calcium carbonate or other inorganic non-fertilising substances
37793,3102500000,80,1972-01-01 00:00:00,,Sodium nitrate
37796,3102600000,80,1972-01-01 00:00:00,,Double salts and mixtures of calcium nitrate and ammonium nitrate
37799,3102900000,80,1972-01-01 00:00:00,,"Other, including mixtures not specified in the foregoing subheadings"
37800,3103000000,80,1972-01-01 00:00:00,,"Mineral or chemical fertilisers, phosphatic"
37806,3104000000,80,1972-01-01 00:00:00,,"Mineral or chemical fertilisers, potassic"
37808,3104200000,80,1972-01-01 00:00:00,,Potassium chloride
37820,3105000000,80,1972-01-01 00:00:00,,"Mineral or chemical fertilisers containing two or three of the fertilising elements nitrogen, phosphorus and potassium; other fertilisers; goods of this chapter in tablets or similar forms or in packages of a gross weight not exceeding 10|kg"
37821,3105100000,80,1972-01-01 00:00:00,,Goods of this chapter in tablets or similar forms or in packages of a gross weight not exceeding 10|kg
37822,3105200000,80,1972-01-01 00:00:00,,"Mineral or chemical fertilisers containing the three fertilising elements nitrogen, phosphorus and potassium"
37831,3105510000,10,1972-01-01 00:00:00,,Other mineral or chemical fertilisers containing the two fertilising elements nitrogen and phosphorus
37832,3105510000,80,1972-01-01 00:00:00,,Containing nitrates and phosphates
37833,3105590000,80,1972-01-01 00:00:00,,Other
37837,3105900000,80,1972-01-01 00:00:00,,Other
37842,3200000000,80,1971-12-31 00:00:00,,"TANNING OR DYEING EXTRACTS; TANNINS AND THEIR DERIVATIVES; DYES, PIGMENTS AND OTHER COLOURING MATTER; PAINTS AND VARNISHES; PUTTY AND OTHER MASTICS; INKS"
37843,3201000000,80,1972-01-01 00:00:00,,"Tanning extracts of vegetable origin; tannins and their salts, ethers, esters and other derivatives"
37847,3201900000,80,1972-01-01 00:00:00,,Other
37849,3201909000,80,1972-01-01 00:00:00,,Other
