SID,Measure type,Commodity,Additional code,Geography,Valid dates,Order number,Measure components,Conditions,Footnotes
3632604,[142] Tariff preference,0301190000,,21/09/2017,,[01] + 2.20%,Condition [B1] Presentation of a certificate/licence/document : Document [Y] Action [27] Apply the mentioned duty : ||Condition [B2] Presentation of a certificate/licence/document : Action [07] Measure not applicable :,"CD303: (Conditions) The relief from or reduction of customs duties shall be subject to the specific request expressed by the declarant in box 44 ""Additional information/Documents produced/Certificates and authorisations"", of the Single Administrative Document (SAD)"
3632795,[142] Tariff preference,0301911000,,21/09/2017,,[01] + 2.40%,Condition [B1] Presentation of a certificate/licence/document : Document [Y] Action [27] Apply the mentioned duty : ||Condition [B2] Presentation of a certificate/licence/document : Action [07] Measure not applicable :,"CD303: (Conditions) The relief from or reduction of customs duties shall be subject to the specific request expressed by the declarant in box 44 ""Additional information/Documents produced/Certificates and authorisations"", of the Single Administrative Document (SAD)"
3632996,[142] Tariff preference,0301919000,,21/09/2017,,[01] + 3.60%,Condition [B1] Presentation of a certificate/licence/document : Document [Y] Action [27] Apply the mentioned duty : ||Condition [B2] Presentation of a certificate/licence/document : Action [07] Measure not applicable :,"CD303: (Conditions) The relief from or reduction of customs duties shall be subject to the specific request expressed by the declarant in box 44 ""Additional information/Documents produced/Certificates and authorisations"", of the Single Administrative Document (SAD)"
3632796,[142] Tariff preference,0301930000,,21/09/2017,,[01] + 2.40%,Condition [B1] Presentation of a certificate/licence/document : Document [Y] Action [27] Apply the mentioned duty : ||Condition [B2] Presentation of a certificate/licence/document : Action [07] Measure not applicable :,"CD303: (Conditions) The relief from or reduction of customs duties shall be subject to the specific request expressed by the declarant in box 44 ""Additional information/Documents produced/Certificates and authorisations"", of the Single Administrative Document (SAD)"
3633459,[142] Tariff preference,0301940000,,21/09/2017,,[01] + 4.80%,Condition [B1] Presentation of a certificate/licence/document : Document [Y] Action [27] Apply the mentioned duty : ||Condition [B2] Presentation of a certificate/licence/document : Action [07] Measure not applicable :,"CD303: (Conditions) The relief from or reduction of customs duties shall be subject to the specific request expressed by the declarant in box 44 ""Additional information/Documents produced/Certificates and authorisations"", of the Single Administrative Document (SAD)"
3633460,[142] Tariff preference,0301950000,,21/09/2017,,[01] + 4.80%,Condition [B1] Presentation of a certificate/licence/document : Document [Y] Action [27] Apply the mentioned duty : ||Condition [B2] Presentation of a certificate/licence/document : Action [07] Measure not applicable :,"CD303: (Conditions) The relief from or reduction of customs duties shall be subject to the specific request expressed by the declarant in box 44 ""Additional information/Documents produced/Certificates and authorisations"", of the Single Administrative Document (SAD)"
3632797,[142] Tariff preference,0301991700,,21/09/2017,,[01] + 2.40%,Condition [B1] Presentation of a certificate/licence/document : Document [Y] Action [27] Apply the mentioned duty : ||Condition [B2] Presentation of a certificate/licence/document : Action [07] Measure not applicable :,"CD303: (Conditions) The relief from or reduction of customs duties shall be subject to the specific request expressed by the declarant in box 44 ""Additional information/Documents produced/Certificates and authorisations"", of the Single Administrative Document (SAD)"
3633461,[142] Tariff preference,0301998500,,21/09/2017,,[01] + 4.80%,Condition [B1] Presentation of a certificate/licence/document : Document [Y] Action [27] Apply the mentioned duty : ||Condition [B2] Presentation of a certificate/licence/document : Action [07] Measure not applicable :,"CD303: (Conditions) The relief from or reduction of customs duties shall be subject to the specific request expressed by the declarant in box 44 ""Additional information/Documents produced/Certificates and authorisations"", of the Single Administrative Document (SAD)"
3632798,[142] Tariff preference,0302111000,,21/09/2017,,[01] + 2.40%,Condition [B1] Presentation of a certificate/licence/document : Document [Y] Action [27] Apply the mentioned duty : ||Condition [B2] Presentation of a certificate/licence/document : Action [07] Measure not applicable :,"CD303: (Conditions) The relief from or reduction of customs duties shall be subject to the specific request expressed by the declarant in box 44 ""Additional information/Documents produced/Certificates and authorisations"", of the Single Administrative Document (SAD)"
3632997,[142] Tariff preference,0302112000,,21/09/2017,,[01] + 3.60%,Condition [B1] Presentation of a certificate/licence/document : Document [Y] Action [27] Apply the mentioned duty : ||Condition [B2] Presentation of a certificate/licence/document : Action [07] Measure not applicable :,"CD303: (Conditions) The relief from or reduction of customs duties shall be subject to the specific request expressed by the declarant in box 44 ""Additional information/Documents produced/Certificates and authorisations"", of the Single Administrative Document (SAD)"
3632998,[142] Tariff preference,0302118000,,21/09/2017,,[01] + 3.60%,Condition [B1] Presentation of a certificate/licence/document : Document [Y] Action [27] Apply the mentioned duty : ||Condition [B2] Presentation of a certificate/licence/document : Action [07] Measure not applicable :,"CD303: (Conditions) The relief from or reduction of customs duties shall be subject to the specific request expressed by the declarant in box 44 ""Additional information/Documents produced/Certificates and authorisations"", of the Single Administrative Document (SAD)"
3632799,[142] Tariff preference,0302190000,,21/09/2017,,[01] + 2.40%,Condition [B1] Presentation of a certificate/licence/document : Document [Y] Action [27] Apply the mentioned duty : ||Condition [B2] Presentation of a certificate/licence/document : Action [07] Measure not applicable :,"CD303: (Conditions) The relief from or reduction of customs duties shall be subject to the specific request expressed by the declarant in box 44 ""Additional information/Documents produced/Certificates and authorisations"", of the Single Administrative Document (SAD)"
3632720,[142] Tariff preference,0302211000,,21/09/2017,,[01] 0.00%,Condition [B1] Presentation of a certificate/licence/document : Document [Y] Action [27] Apply the mentioned duty : ||Condition [B2] Presentation of a certificate/licence/document : Action [07] Measure not applicable :,"CD303: (Conditions) The relief from or reduction of customs duties shall be subject to the specific request expressed by the declarant in box 44 ""Additional information/Documents produced/Certificates and authorisations"", of the Single Administrative Document (SAD)"
3632721,[142] Tariff preference,0302213000,,21/09/2017,,[01] 0.00%,Condition [B1] Presentation of a certificate/licence/document : Document [Y] Action [27] Apply the mentioned duty : ||Condition [B2] Presentation of a certificate/licence/document : Action [07] Measure not applicable :,"CD303: (Conditions) The relief from or reduction of customs duties shall be subject to the specific request expressed by the declarant in box 44 ""Additional information/Documents produced/Certificates and authorisations"", of the Single Administrative Document (SAD)"
3633127,[142] Tariff preference,0302219000,,21/09/2017,,[01] + 4.50%,Condition [B1] Presentation of a certificate/licence/document : Document [Y] Action [27] Apply the mentioned duty : ||Condition [B2] Presentation of a certificate/licence/document : Action [07] Measure not applicable :,"CD303: (Conditions) The relief from or reduction of customs duties shall be subject to the specific request expressed by the declarant in box 44 ""Additional information/Documents produced/Certificates and authorisations"", of the Single Administrative Document (SAD)"
3632605,[142] Tariff preference,0302220000,,21/09/2017,,[01] + 2.20%,Condition [B1] Presentation of a certificate/licence/document : Document [Y] Action [27] Apply the mentioned duty : ||Condition [B2] Presentation of a certificate/licence/document : Action [07] Measure not applicable :,"CD303: (Conditions) The relief from or reduction of customs duties shall be subject to the specific request expressed by the declarant in box 44 ""Additional information/Documents produced/Certificates and authorisations"", of the Single Administrative Document (SAD)"
3633128,[142] Tariff preference,0302230000,,21/09/2017,,[01] + 4.50%,Condition [B1] Presentation of a certificate/licence/document : Document [Y] Action [27] Apply the mentioned duty : ||Condition [B2] Presentation of a certificate/licence/document : Action [07] Measure not applicable :,"CD303: (Conditions) The relief from or reduction of customs duties shall be subject to the specific request expressed by the declarant in box 44 ""Additional information/Documents produced/Certificates and authorisations"", of the Single Administrative Document (SAD)"
3633129,[142] Tariff preference,0302240000,,21/09/2017,,[01] + 4.50%,Condition [B1] Presentation of a certificate/licence/document : Document [Y] Action [27] Apply the mentioned duty : ||Condition [B2] Presentation of a certificate/licence/document : Action [07] Measure not applicable :,"CD303: (Conditions) The relief from or reduction of customs duties shall be subject to the specific request expressed by the declarant in box 44 ""Additional information/Documents produced/Certificates and authorisations"", of the Single Administrative Document (SAD)"
