SID,Measure type,Commodity,Additional code,Geography,Valid dates,Order number,Measure components,Conditions,Footnotes
3393411,[552] Definitive anti-dumping duty,3102290010,"[A522] For goods produced by Open Joint Stock Company (OJSC) ""Azot"", Novomoskovsk, Russia or by Open Joint Stock Company (OJSC) ""Nevinnomyssky Azot"", Nevinnomyssk, Russia and either sold directly to the first independent customer in the Community or sold by EuroChem Trading GmbH, Zug, Switzerland or via Open Joint Stock Company (OJSC) Mineral and Chemical Company ""EuroChem"", Moscow, Russia, and EuroChem Trading GmbH, Zug, Switzerland to the first independent customer in the Community",25/09/2014,,[01] + 32.82 EUR / Tonne,,"TM518: (Taric Measure) In cases where goods have been damaged before entry into free circulation and, therefore, the price actually paid or payable is apportioned for the determination of the customs value pursuant to Article 131 of Commission Regulation (EU) 2015/2447 (OJ L 343, p. 558), the amount of anti-dumping duty and/or countervailing duty, calculated on the basis of the fixed amounts set out above, shall be reduced by a percentage which corresponds to the apportioning of the price actually paid or payable."
3393414,[552] Definitive anti-dumping duty,3102290010,[A999] Other,25/09/2014,,[01] + 47.07 EUR / Tonne,,"TM518: (Taric Measure) In cases where goods have been damaged before entry into free circulation and, therefore, the price actually paid or payable is apportioned for the determination of the customs value pursuant to Article 131 of Commission Regulation (EU) 2015/2447 (OJ L 343, p. 558), the amount of anti-dumping duty and/or countervailing duty, calculated on the basis of the fixed amounts set out above, shall be reduced by a percentage which corresponds to the apportioning of the price actually paid or payable."
3393418,[552] Definitive anti-dumping duty,3102309000,[A999] Other,25/09/2014,,[01] + 47.07 EUR / Tonne,,"TM518: (Taric Measure) In cases where goods have been damaged before entry into free circulation and, therefore, the price actually paid or payable is apportioned for the determination of the customs value pursuant to Article 131 of Commission Regulation (EU) 2015/2447 (OJ L 343, p. 558), the amount of anti-dumping duty and/or countervailing duty, calculated on the basis of the fixed amounts set out above, shall be reduced by a percentage which corresponds to the apportioning of the price actually paid or payable."
3393415,[552] Definitive anti-dumping duty,3102309000,"[A522] For goods produced by Open Joint Stock Company (OJSC) ""Azot"", Novomoskovsk, Russia or by Open Joint Stock Company (OJSC) ""Nevinnomyssky Azot"", Nevinnomyssk, Russia and either sold directly to the first independent customer in the Community or sold by EuroChem Trading GmbH, Zug, Switzerland or via Open Joint Stock Company (OJSC) Mineral and Chemical Company ""EuroChem"", Moscow, Russia, and EuroChem Trading GmbH, Zug, Switzerland to the first independent customer in the Community",25/09/2014,,[01] + 32.82 EUR / Tonne,,"TM518: (Taric Measure) In cases where goods have been damaged before entry into free circulation and, therefore, the price actually paid or payable is apportioned for the determination of the customs value pursuant to Article 131 of Commission Regulation (EU) 2015/2447 (OJ L 343, p. 558), the amount of anti-dumping duty and/or countervailing duty, calculated on the basis of the fixed amounts set out above, shall be reduced by a percentage which corresponds to the apportioning of the price actually paid or payable."
3393417,[552] Definitive anti-dumping duty,3102309000,[A959] KCKK Branch of Joint Stock Company United Chemical Company Uralchem in Kirovo-Chepetsk,25/09/2014,,[01] + 47.07 EUR / Tonne,,"TM518: (Taric Measure) In cases where goods have been damaged before entry into free circulation and, therefore, the price actually paid or payable is apportioned for the determination of the customs value pursuant to Article 131 of Commission Regulation (EU) 2015/2447 (OJ L 343, p. 558), the amount of anti-dumping duty and/or countervailing duty, calculated on the basis of the fixed amounts set out above, shall be reduced by a percentage which corresponds to the apportioning of the price actually paid or payable."
3393421,[552] Definitive anti-dumping duty,3102409000,[A959] KCKK Branch of Joint Stock Company United Chemical Company Uralchem in Kirovo-Chepetsk,25/09/2014,,[01] + 47.07 EUR / Tonne,,"TM518: (Taric Measure) In cases where goods have been damaged before entry into free circulation and, therefore, the price actually paid or payable is apportioned for the determination of the customs value pursuant to Article 131 of Commission Regulation (EU) 2015/2447 (OJ L 343, p. 558), the amount of anti-dumping duty and/or countervailing duty, calculated on the basis of the fixed amounts set out above, shall be reduced by a percentage which corresponds to the apportioning of the price actually paid or payable."
3393419,[552] Definitive anti-dumping duty,3102409000,"[A522] For goods produced by Open Joint Stock Company (OJSC) ""Azot"", Novomoskovsk, Russia or by Open Joint Stock Company (OJSC) ""Nevinnomyssky Azot"", Nevinnomyssk, Russia and either sold directly to the first independent customer in the Community or sold by EuroChem Trading GmbH, Zug, Switzerland or via Open Joint Stock Company (OJSC) Mineral and Chemical Company ""EuroChem"", Moscow, Russia, and EuroChem Trading GmbH, Zug, Switzerland to the first independent customer in the Community",25/09/2014,,[01] + 32.82 EUR / Tonne,,"TM518: (Taric Measure) In cases where goods have been damaged before entry into free circulation and, therefore, the price actually paid or payable is apportioned for the determination of the customs value pursuant to Article 131 of Commission Regulation (EU) 2015/2447 (OJ L 343, p. 558), the amount of anti-dumping duty and/or countervailing duty, calculated on the basis of the fixed amounts set out above, shall be reduced by a percentage which corresponds to the apportioning of the price actually paid or payable."
3393422,[552] Definitive anti-dumping duty,3102409000,[A999] Other,25/09/2014,,[01] + 47.07 EUR / Tonne,,"TM518: (Taric Measure) In cases where goods have been damaged before entry into free circulation and, therefore, the price actually paid or payable is apportioned for the determination of the customs value pursuant to Article 131 of Commission Regulation (EU) 2015/2447 (OJ L 343, p. 558), the amount of anti-dumping duty and/or countervailing duty, calculated on the basis of the fixed amounts set out above, shall be reduced by a percentage which corresponds to the apportioning of the price actually paid or payable."
3393423,[552] Definitive anti-dumping duty,3102600010,"[A522] For goods produced by Open Joint Stock Company (OJSC) ""Azot"", Novomoskovsk, Russia or by Open Joint Stock Company (OJSC) ""Nevinnomyssky Azot"", Nevinnomyssk, Russia and either sold directly to the first independent customer in the Community or sold by EuroChem Trading GmbH, Zug, Switzerland or via Open Joint Stock Company (OJSC) Mineral and Chemical Company ""EuroChem"", Moscow, Russia, and EuroChem Trading GmbH, Zug, Switzerland to the first independent customer in the Community",25/09/2014,,[01] + 32.82 EUR / Tonne,,"TM518: (Taric Measure) In cases where goods have been damaged before entry into free circulation and, therefore, the price actually paid or payable is apportioned for the determination of the customs value pursuant to Article 131 of Commission Regulation (EU) 2015/2447 (OJ L 343, p. 558), the amount of anti-dumping duty and/or countervailing duty, calculated on the basis of the fixed amounts set out above, shall be reduced by a percentage which corresponds to the apportioning of the price actually paid or payable."
3393426,[552] Definitive anti-dumping duty,3102600010,[A999] Other,25/09/2014,,[01] + 47.07 EUR / Tonne,,"TM518: (Taric Measure) In cases where goods have been damaged before entry into free circulation and, therefore, the price actually paid or payable is apportioned for the determination of the customs value pursuant to Article 131 of Commission Regulation (EU) 2015/2447 (OJ L 343, p. 558), the amount of anti-dumping duty and/or countervailing duty, calculated on the basis of the fixed amounts set out above, shall be reduced by a percentage which corresponds to the apportioning of the price actually paid or payable."
