SID,Measure type,Commodity,Additional code,Geography,Valid dates,Order number,Measure components,Conditions,Footnotes
3602337,[143] Preferential tariff quota,3920000000,,01/01/2018 - 31/12/2018,,[01] 0.00%,Condition [Q1] Presentation of an endorsed certificate/licence : Document [U] Action [27] Apply the mentioned duty : ||Condition [Q2] Presentation of an endorsed certificate/licence : Action [07] Measure not applicable :,"CD653: (Conditions) Subject to the presentation of a proof of origin containing the following statement in English: ""Product originating in accordance with Appendix 2A of Annex II"" (OJ L 354, 21.12.2012)."
3602338,[143] Preferential tariff quota,6108220000,,01/01/2018 - 31/12/2018,,[01] 0.00%,Condition [Q1] Presentation of an endorsed certificate/licence : Document [U] Action [27] Apply the mentioned duty : ||Condition [Q2] Presentation of an endorsed certificate/licence : Action [07] Measure not applicable :,"CD653: (Conditions) Subject to the presentation of a proof of origin containing the following statement in English: ""Product originating in accordance with Appendix 2A of Annex II"" (OJ L 354, 21.12.2012)."
3602339,[143] Preferential tariff quota,6112310000,,01/01/2018 - 31/12/2018,,[01] 0.00%,Condition [Q1] Presentation of an endorsed certificate/licence : Document [U] Action [27] Apply the mentioned duty : ||Condition [Q2] Presentation of an endorsed certificate/licence : Action [07] Measure not applicable :,"CD653: (Conditions) Subject to the presentation of a proof of origin containing the following statement in English: ""Product originating in accordance with Appendix 2A of Annex II"" (OJ L 354, 21.12.2012)."
3602340,[143] Preferential tariff quota,6112410000,,01/01/2018 - 31/12/2018,,[01] 0.00%,Condition [Q1] Presentation of an endorsed certificate/licence : Document [U] Action [27] Apply the mentioned duty : ||Condition [Q2] Presentation of an endorsed certificate/licence : Action [07] Measure not applicable :,"CD653: (Conditions) Subject to the presentation of a proof of origin containing the following statement in English: ""Product originating in accordance with Appendix 2A of Annex II"" (OJ L 354, 21.12.2012)."
3602341,[143] Preferential tariff quota,6115100000,,01/01/2018 - 31/12/2018,,[01] 0.00%,Condition [Q1] Presentation of an endorsed certificate/licence : Document [U] Action [27] Apply the mentioned duty : ||Condition [Q2] Presentation of an endorsed certificate/licence : Action [07] Measure not applicable :,"CD653: (Conditions) Subject to the presentation of a proof of origin containing the following statement in English: ""Product originating in accordance with Appendix 2A of Annex II"" (OJ L 354, 21.12.2012)."
3602342,[143] Preferential tariff quota,6115210000,,01/01/2018 - 31/12/2018,,[01] 0.00%,Condition [Q1] Presentation of an endorsed certificate/licence : Document [U] Action [27] Apply the mentioned duty : ||Condition [Q2] Presentation of an endorsed certificate/licence : Action [07] Measure not applicable :,"CD653: (Conditions) Subject to the presentation of a proof of origin containing the following statement in English: ""Product originating in accordance with Appendix 2A of Annex II"" (OJ L 354, 21.12.2012)."
3602343,[143] Preferential tariff quota,6115220000,,01/01/2018 - 31/12/2018,,[01] 0.00%,Condition [Q1] Presentation of an endorsed certificate/licence : Document [U] Action [27] Apply the mentioned duty : ||Condition [Q2] Presentation of an endorsed certificate/licence : Action [07] Measure not applicable :,"CD653: (Conditions) Subject to the presentation of a proof of origin containing the following statement in English: ""Product originating in accordance with Appendix 2A of Annex II"" (OJ L 354, 21.12.2012)."
3602344,[143] Preferential tariff quota,6115300000,,01/01/2018 - 31/12/2018,,[01] 0.00%,Condition [Q1] Presentation of an endorsed certificate/licence : Document [U] Action [27] Apply the mentioned duty : ||Condition [Q2] Presentation of an endorsed certificate/licence : Action [07] Measure not applicable :,"CD653: (Conditions) Subject to the presentation of a proof of origin containing the following statement in English: ""Product originating in accordance with Appendix 2A of Annex II"" (OJ L 354, 21.12.2012)."
3602345,[143] Preferential tariff quota,6115960000,,01/01/2018 - 31/12/2018,,[01] 0.00%,Condition [Q1] Presentation of an endorsed certificate/licence : Document [U] Action [27] Apply the mentioned duty : ||Condition [Q2] Presentation of an endorsed certificate/licence : Action [07] Measure not applicable :,"CD653: (Conditions) Subject to the presentation of a proof of origin containing the following statement in English: ""Product originating in accordance with Appendix 2A of Annex II"" (OJ L 354, 21.12.2012)."
3602346,[143] Preferential tariff quota,7321000000,,01/01/2018 - 31/12/2018,,[01] 0.00%,Condition [Q1] Presentation of an endorsed certificate/licence : Document [U] Action [27] Apply the mentioned duty : ||Condition [Q2] Presentation of an endorsed certificate/licence : Action [07] Measure not applicable :,"CD653: (Conditions) Subject to the presentation of a proof of origin containing the following statement in English: ""Product originating in accordance with Appendix 2A of Annex II"" (OJ L 354, 21.12.2012)."
3602347,[143] Preferential tariff quota,7323000000,,01/01/2018 - 31/12/2018,,[01] 0.00%,Condition [Q1] Presentation of an endorsed certificate/licence : Document [U] Action [27] Apply the mentioned duty : ||Condition [Q2] Presentation of an endorsed certificate/licence : Action [07] Measure not applicable :,"CD653: (Conditions) Subject to the presentation of a proof of origin containing the following statement in English: ""Product originating in accordance with Appendix 2A of Annex II"" (OJ L 354, 21.12.2012)."
3602348,[143] Preferential tariff quota,7325000000,,01/01/2018 - 31/12/2018,,[01] 0.00%,Condition [Q1] Presentation of an endorsed certificate/licence : Document [U] Action [27] Apply the mentioned duty : ||Condition [Q2] Presentation of an endorsed certificate/licence : Action [07] Measure not applicable :,"CD653: (Conditions) Subject to the presentation of a proof of origin containing the following statement in English: ""Product originating in accordance with Appendix 2A of Annex II"" (OJ L 354, 21.12.2012)."
