SID,Measure type,Commodity,Additional code,Geography,Valid dates,Order number,Measure components,Conditions,Footnotes
3384863,[760] Import control,0704900000,,11/07/2014,,,Condition [Y1] Other conditions : Document [C] Action [29] Import/export allowed after control : ||Condition [Y2] Other conditions : Document [Y] Action [29] Import/export allowed after control : ||Condition [Y3] Other conditions : Action [09] Import/export not allowed after control :,"CD980: (Conditions) By virtue of Article 4, paragraph 1 of Regulation (EU) No 208/2013, ""Consignments of seeds intended for the production of sprouts and consignments of sprouts shall be accompanied , when  imported into de Union, by a certificate as provided in Article 3 of Regulation (EU) No 211/2013 ."""
3384864,[760] Import control,0706900000,,11/07/2014,,,Condition [Y1] Other conditions : Document [C] Action [29] Import/export allowed after control : ||Condition [Y2] Other conditions : Document [Y] Action [29] Import/export allowed after control : ||Condition [Y3] Other conditions : Action [09] Import/export not allowed after control :,"CD980: (Conditions) By virtue of Article 4, paragraph 1 of Regulation (EU) No 208/2013, ""Consignments of seeds intended for the production of sprouts and consignments of sprouts shall be accompanied , when  imported into de Union, by a certificate as provided in Article 3 of Regulation (EU) No 211/2013 ."""
3384866,[760] Import control,0708000000,,11/07/2014,,,Condition [Y1] Other conditions : Document [C] Action [29] Import/export allowed after control : ||Condition [Y2] Other conditions : Document [Y] Action [29] Import/export allowed after control : ||Condition [Y3] Other conditions : Action [09] Import/export not allowed after control :,"CD980: (Conditions) By virtue of Article 4, paragraph 1 of Regulation (EU) No 208/2013, ""Consignments of seeds intended for the production of sprouts and consignments of sprouts shall be accompanied , when  imported into de Union, by a certificate as provided in Article 3 of Regulation (EU) No 211/2013 ."""
3384867,[760] Import control,0713100000,,11/07/2014,,,Condition [Y1] Other conditions : Document [C] Action [29] Import/export allowed after control : ||Condition [Y2] Other conditions : Document [Y] Action [29] Import/export allowed after control : ||Condition [Y3] Other conditions : Action [09] Import/export not allowed after control :,"CD980: (Conditions) By virtue of Article 4, paragraph 1 of Regulation (EU) No 208/2013, ""Consignments of seeds intended for the production of sprouts and consignments of sprouts shall be accompanied , when  imported into de Union, by a certificate as provided in Article 3 of Regulation (EU) No 211/2013 ."""
3384868,[760] Import control,0713330000,,11/07/2014,,,Condition [Y1] Other conditions : Document [C] Action [29] Import/export allowed after control : ||Condition [Y2] Other conditions : Document [Y] Action [29] Import/export allowed after control : ||Condition [Y3] Other conditions : Action [09] Import/export not allowed after control :,"CD980: (Conditions) By virtue of Article 4, paragraph 1 of Regulation (EU) No 208/2013, ""Consignments of seeds intended for the production of sprouts and consignments of sprouts shall be accompanied , when  imported into de Union, by a certificate as provided in Article 3 of Regulation (EU) No 211/2013 ."""
3384869,[760] Import control,0713340000,,11/07/2014,,,Condition [Y1] Other conditions : Document [C] Action [29] Import/export allowed after control : ||Condition [Y2] Other conditions : Document [Y] Action [29] Import/export allowed after control : ||Condition [Y3] Other conditions : Action [09] Import/export not allowed after control :,"CD980: (Conditions) By virtue of Article 4, paragraph 1 of Regulation (EU) No 208/2013, ""Consignments of seeds intended for the production of sprouts and consignments of sprouts shall be accompanied , when  imported into de Union, by a certificate as provided in Article 3 of Regulation (EU) No 211/2013 ."""
3384870,[760] Import control,0713350000,,11/07/2014,,,Condition [Y1] Other conditions : Document [C] Action [29] Import/export allowed after control : ||Condition [Y2] Other conditions : Document [Y] Action [29] Import/export allowed after control : ||Condition [Y3] Other conditions : Action [09] Import/export not allowed after control :,"CD980: (Conditions) By virtue of Article 4, paragraph 1 of Regulation (EU) No 208/2013, ""Consignments of seeds intended for the production of sprouts and consignments of sprouts shall be accompanied , when  imported into de Union, by a certificate as provided in Article 3 of Regulation (EU) No 211/2013 ."""
3384871,[760] Import control,0713390000,,11/07/2014,,,Condition [Y1] Other conditions : Document [C] Action [29] Import/export allowed after control : ||Condition [Y2] Other conditions : Document [Y] Action [29] Import/export allowed after control : ||Condition [Y3] Other conditions : Action [09] Import/export not allowed after control :,"CD980: (Conditions) By virtue of Article 4, paragraph 1 of Regulation (EU) No 208/2013, ""Consignments of seeds intended for the production of sprouts and consignments of sprouts shall be accompanied , when  imported into de Union, by a certificate as provided in Article 3 of Regulation (EU) No 211/2013 ."""
3384872,[760] Import control,0713400000,,11/07/2014,,,Condition [Y1] Other conditions : Document [C] Action [29] Import/export allowed after control : ||Condition [Y2] Other conditions : Document [Y] Action [29] Import/export allowed after control : ||Condition [Y3] Other conditions : Action [09] Import/export not allowed after control :,"CD980: (Conditions) By virtue of Article 4, paragraph 1 of Regulation (EU) No 208/2013, ""Consignments of seeds intended for the production of sprouts and consignments of sprouts shall be accompanied , when  imported into de Union, by a certificate as provided in Article 3 of Regulation (EU) No 211/2013 ."""
3384873,[760] Import control,0713500000,,11/07/2014,,,Condition [Y1] Other conditions : Document [C] Action [29] Import/export allowed after control : ||Condition [Y2] Other conditions : Document [Y] Action [29] Import/export allowed after control : ||Condition [Y3] Other conditions : Action [09] Import/export not allowed after control :,"CD980: (Conditions) By virtue of Article 4, paragraph 1 of Regulation (EU) No 208/2013, ""Consignments of seeds intended for the production of sprouts and consignments of sprouts shall be accompanied , when  imported into de Union, by a certificate as provided in Article 3 of Regulation (EU) No 211/2013 ."""
