SID,Measure type,Commodity,Additional code,Geography,Valid dates,Order number,Measure components,Conditions,Footnotes
3259075,[143] Preferential tariff quota,0102295110,,01/01/2012,,[01] + 2.00% | [04] + 18.60 EUR + % or amount / 100kg,Condition [C1] Presentation of a certificate/licence/document : Document [L] Action [27] Apply the mentioned duty : ||Condition [Q2] Presentation of an endorsed certificate/licence : Document [Y] Action [27] Apply the mentioned duty : ||Condition [C3] Presentation of a certificate/licence/document : Action [07] Measure not applicable : ||Condition [Q4] Presentation of an endorsed certificate/licence : Action [07] Measure not applicable :,CD130: (Conditions) Eligibility to benefit from this tariff quota shall be subject to the production of an import licence issued in accordance with the conditions laid down in Regulation (EU) No 1255/2010 (OJ L 342 p.1)
3259076,[143] Preferential tariff quota,0102295911,,01/01/2012,,[01] + 2.00% | [04] + 18.60 EUR + % or amount / 100kg,Condition [Q1] Presentation of an endorsed certificate/licence : Document [Y] Action [27] Apply the mentioned duty : ||Condition [C2] Presentation of a certificate/licence/document : Document [L] Action [27] Apply the mentioned duty : ||Condition [C3] Presentation of a certificate/licence/document : Action [07] Measure not applicable : ||Condition [Q4] Presentation of an endorsed certificate/licence : Action [07] Measure not applicable :,CD130: (Conditions) Eligibility to benefit from this tariff quota shall be subject to the production of an import licence issued in accordance with the conditions laid down in Regulation (EU) No 1255/2010 (OJ L 342 p.1)
3259077,[143] Preferential tariff quota,0102295921,,01/01/2012,,[01] + 2.00% | [04] + 18.60 EUR + % or amount / 100kg,Condition [C1] Presentation of a certificate/licence/document : Document [L] Action [27] Apply the mentioned duty : ||Condition [Q2] Presentation of an endorsed certificate/licence : Document [Y] Action [27] Apply the mentioned duty : ||Condition [C3] Presentation of a certificate/licence/document : Action [07] Measure not applicable : ||Condition [Q4] Presentation of an endorsed certificate/licence : Action [07] Measure not applicable :,CD130: (Conditions) Eligibility to benefit from this tariff quota shall be subject to the production of an import licence issued in accordance with the conditions laid down in Regulation (EU) No 1255/2010 (OJ L 342 p.1)
3259078,[143] Preferential tariff quota,0102295931,,01/01/2012,,[01] + 2.00% | [04] + 18.60 EUR + % or amount / 100kg,Condition [C1] Presentation of a certificate/licence/document : Document [L] Action [27] Apply the mentioned duty : ||Condition [Q2] Presentation of an endorsed certificate/licence : Document [Y] Action [27] Apply the mentioned duty : ||Condition [C3] Presentation of a certificate/licence/document : Action [07] Measure not applicable : ||Condition [Q4] Presentation of an endorsed certificate/licence : Action [07] Measure not applicable :,CD130: (Conditions) Eligibility to benefit from this tariff quota shall be subject to the production of an import licence issued in accordance with the conditions laid down in Regulation (EU) No 1255/2010 (OJ L 342 p.1)
3259079,[143] Preferential tariff quota,0102295991,,01/01/2012,,[01] + 2.00% | [04] + 18.60 EUR + % or amount / 100kg,Condition [Q1] Presentation of an endorsed certificate/licence : Document [Y] Action [27] Apply the mentioned duty : ||Condition [C2] Presentation of a certificate/licence/document : Document [L] Action [27] Apply the mentioned duty : ||Condition [Q3] Presentation of an endorsed certificate/licence : Action [07] Measure not applicable : ||Condition [C4] Presentation of a certificate/licence/document : Action [07] Measure not applicable :,CD130: (Conditions) Eligibility to benefit from this tariff quota shall be subject to the production of an import licence issued in accordance with the conditions laid down in Regulation (EU) No 1255/2010 (OJ L 342 p.1)
3259080,[143] Preferential tariff quota,0102299110,,01/01/2012,,[01] + 2.00% | [04] + 18.60 EUR + % or amount / 100kg,Condition [C1] Presentation of a certificate/licence/document : Document [L] Action [27] Apply the mentioned duty : ||Condition [Q2] Presentation of an endorsed certificate/licence : Document [Y] Action [27] Apply the mentioned duty : ||Condition [C3] Presentation of a certificate/licence/document : Action [07] Measure not applicable : ||Condition [Q4] Presentation of an endorsed certificate/licence : Action [07] Measure not applicable :,CD130: (Conditions) Eligibility to benefit from this tariff quota shall be subject to the production of an import licence issued in accordance with the conditions laid down in Regulation (EU) No 1255/2010 (OJ L 342 p.1)
3259081,[143] Preferential tariff quota,0102299921,,01/01/2012,,[01] + 2.00% | [04] + 18.60 EUR + % or amount / 100kg,Condition [C1] Presentation of a certificate/licence/document : Document [L] Action [27] Apply the mentioned duty : ||Condition [Q2] Presentation of an endorsed certificate/licence : Document [Y] Action [27] Apply the mentioned duty : ||Condition [C3] Presentation of a certificate/licence/document : Action [07] Measure not applicable : ||Condition [Q4] Presentation of an endorsed certificate/licence : Action [07] Measure not applicable :,CD130: (Conditions) Eligibility to benefit from this tariff quota shall be subject to the production of an import licence issued in accordance with the conditions laid down in Regulation (EU) No 1255/2010 (OJ L 342 p.1)
3259082,[143] Preferential tariff quota,0102299991,,01/01/2012,,[01] + 2.00% | [04] + 18.60 EUR + % or amount / 100kg,Condition [C1] Presentation of a certificate/licence/document : Document [L] Action [27] Apply the mentioned duty : ||Condition [Q2] Presentation of an endorsed certificate/licence : Document [Y] Action [27] Apply the mentioned duty : ||Condition [C3] Presentation of a certificate/licence/document : Action [07] Measure not applicable : ||Condition [Q4] Presentation of an endorsed certificate/licence : Action [07] Measure not applicable :,CD130: (Conditions) Eligibility to benefit from this tariff quota shall be subject to the production of an import licence issued in accordance with the conditions laid down in Regulation (EU) No 1255/2010 (OJ L 342 p.1)
3259083,[143] Preferential tariff quota,0201100091,,01/01/2012,,[01] + 2.50% | [04] + 35.30 EUR + % or amount / 100kg,Condition [C1] Presentation of a certificate/licence/document : Document [L] Action [27] Apply the mentioned duty : ||Condition [Q2] Presentation of an endorsed certificate/licence : Document [Y] Action [27] Apply the mentioned duty : ||Condition [Q3] Presentation of an endorsed certificate/licence : Action [07] Measure not applicable : ||Condition [C4] Presentation of a certificate/licence/document : Action [07] Measure not applicable :,CD130: (Conditions) Eligibility to benefit from this tariff quota shall be subject to the production of an import licence issued in accordance with the conditions laid down in Regulation (EU) No 1255/2010 (OJ L 342 p.1)
3259084,[143] Preferential tariff quota,0201202091,,01/01/2012,,[01] + 2.50% | [04] + 35.30 EUR + % or amount / 100kg,Condition [Q1] Presentation of an endorsed certificate/licence : Document [Y] Action [27] Apply the mentioned duty : ||Condition [C2] Presentation of a certificate/licence/document : Document [L] Action [27] Apply the mentioned duty : ||Condition [C3] Presentation of a certificate/licence/document : Action [07] Measure not applicable : ||Condition [Q4] Presentation of an endorsed certificate/licence : Action [07] Measure not applicable :,CD130: (Conditions) Eligibility to benefit from this tariff quota shall be subject to the production of an import licence issued in accordance with the conditions laid down in Regulation (EU) No 1255/2010 (OJ L 342 p.1)
3259085,[143] Preferential tariff quota,0201203091,,01/01/2012,,[01] + 2.50% | [04] + 28.20 EUR + % or amount / 100kg,Condition [C1] Presentation of a certificate/licence/document : Document [L] Action [27] Apply the mentioned duty : ||Condition [Q2] Presentation of an endorsed certificate/licence : Document [Y] Action [27] Apply the mentioned duty : ||Condition [C3] Presentation of a certificate/licence/document : Action [07] Measure not applicable : ||Condition [Q4] Presentation of an endorsed certificate/licence : Action [07] Measure not applicable :,CD130: (Conditions) Eligibility to benefit from this tariff quota shall be subject to the production of an import licence issued in accordance with the conditions laid down in Regulation (EU) No 1255/2010 (OJ L 342 p.1)
3259086,[143] Preferential tariff quota,0201205091,,01/01/2012,,[01] + 2.50% | [04] + 42.40 EUR + % or amount / 100kg,Condition [C1] Presentation of a certificate/licence/document : Document [L] Action [27] Apply the mentioned duty : ||Condition [Q2] Presentation of an endorsed certificate/licence : Document [Y] Action [27] Apply the mentioned duty : ||Condition [Q3] Presentation of an endorsed certificate/licence : Action [07] Measure not applicable : ||Condition [C4] Presentation of a certificate/licence/document : Action [07] Measure not applicable :,CD130: (Conditions) Eligibility to benefit from this tariff quota shall be subject to the production of an import licence issued in accordance with the conditions laid down in Regulation (EU) No 1255/2010 (OJ L 342 p.1)
