SID,Measure type,Commodity,Additional code,Geography,Valid dates,Order number,Measure components,Conditions,Footnotes
3604106,[143] Preferential tariff quota,3920000000,,01/08/2018 - 31/07/2019,,[01] 0.00%,Condition [Q1] Presentation of an endorsed certificate/licence : Document [U] Action [27] Apply the mentioned duty : ||Condition [Q2] Presentation of an endorsed certificate/licence : Action [07] Measure not applicable :,"CD653: (Conditions) Subject to the presentation of a proof of origin containing the following statement in English: ""Product originating in accordance with Appendix 2A of Annex II"" (OJ L 354, 21.12.2012)."
3604107,[143] Preferential tariff quota,6108220000,,01/08/2018 - 31/07/2019,,[01] 0.00%,Condition [Q1] Presentation of an endorsed certificate/licence : Document [U] Action [27] Apply the mentioned duty : ||Condition [Q2] Presentation of an endorsed certificate/licence : Action [07] Measure not applicable :,"CD653: (Conditions) Subject to the presentation of a proof of origin containing the following statement in English: ""Product originating in accordance with Appendix 2A of Annex II"" (OJ L 354, 21.12.2012)."
3604108,[143] Preferential tariff quota,6112310000,,01/08/2018 - 31/07/2019,,[01] 0.00%,Condition [Q1] Presentation of an endorsed certificate/licence : Document [U] Action [27] Apply the mentioned duty : ||Condition [Q2] Presentation of an endorsed certificate/licence : Action [07] Measure not applicable :,"CD653: (Conditions) Subject to the presentation of a proof of origin containing the following statement in English: ""Product originating in accordance with Appendix 2A of Annex II"" (OJ L 354, 21.12.2012)."
3604109,[143] Preferential tariff quota,6112410000,,01/08/2018 - 31/07/2019,,[01] 0.00%,Condition [Q1] Presentation of an endorsed certificate/licence : Document [U] Action [27] Apply the mentioned duty : ||Condition [Q2] Presentation of an endorsed certificate/licence : Action [07] Measure not applicable :,"CD653: (Conditions) Subject to the presentation of a proof of origin containing the following statement in English: ""Product originating in accordance with Appendix 2A of Annex II"" (OJ L 354, 21.12.2012)."
3604110,[143] Preferential tariff quota,6115100000,,01/08/2018 - 31/07/2019,,[01] 0.00%,Condition [Q1] Presentation of an endorsed certificate/licence : Document [U] Action [27] Apply the mentioned duty : ||Condition [Q2] Presentation of an endorsed certificate/licence : Action [07] Measure not applicable :,"CD653: (Conditions) Subject to the presentation of a proof of origin containing the following statement in English: ""Product originating in accordance with Appendix 2A of Annex II"" (OJ L 354, 21.12.2012)."
3604111,[143] Preferential tariff quota,6115210000,,01/08/2018 - 31/07/2019,,[01] 0.00%,Condition [Q1] Presentation of an endorsed certificate/licence : Document [U] Action [27] Apply the mentioned duty : ||Condition [Q2] Presentation of an endorsed certificate/licence : Action [07] Measure not applicable :,"CD653: (Conditions) Subject to the presentation of a proof of origin containing the following statement in English: ""Product originating in accordance with Appendix 2A of Annex II"" (OJ L 354, 21.12.2012)."
3604112,[143] Preferential tariff quota,6115220000,,01/08/2018 - 31/07/2019,,[01] 0.00%,Condition [Q1] Presentation of an endorsed certificate/licence : Document [U] Action [27] Apply the mentioned duty : ||Condition [Q2] Presentation of an endorsed certificate/licence : Action [07] Measure not applicable :,"CD653: (Conditions) Subject to the presentation of a proof of origin containing the following statement in English: ""Product originating in accordance with Appendix 2A of Annex II"" (OJ L 354, 21.12.2012)."
3604113,[143] Preferential tariff quota,6115300000,,01/08/2018 - 31/07/2019,,[01] 0.00%,Condition [Q1] Presentation of an endorsed certificate/licence : Document [U] Action [27] Apply the mentioned duty : ||Condition [Q2] Presentation of an endorsed certificate/licence : Action [07] Measure not applicable :,"CD653: (Conditions) Subject to the presentation of a proof of origin containing the following statement in English: ""Product originating in accordance with Appendix 2A of Annex II"" (OJ L 354, 21.12.2012)."
3604114,[143] Preferential tariff quota,6115960000,,01/08/2018 - 31/07/2019,,[01] 0.00%,Condition [Q1] Presentation of an endorsed certificate/licence : Document [U] Action [27] Apply the mentioned duty : ||Condition [Q2] Presentation of an endorsed certificate/licence : Action [07] Measure not applicable :,"CD653: (Conditions) Subject to the presentation of a proof of origin containing the following statement in English: ""Product originating in accordance with Appendix 2A of Annex II"" (OJ L 354, 21.12.2012)."
3604115,[143] Preferential tariff quota,7321000000,,01/08/2018 - 31/07/2019,,[01] 0.00%,Condition [Q1] Presentation of an endorsed certificate/licence : Document [U] Action [27] Apply the mentioned duty : ||Condition [Q2] Presentation of an endorsed certificate/licence : Action [07] Measure not applicable :,"CD653: (Conditions) Subject to the presentation of a proof of origin containing the following statement in English: ""Product originating in accordance with Appendix 2A of Annex II"" (OJ L 354, 21.12.2012)."
3604116,[143] Preferential tariff quota,7323000000,,01/08/2018 - 31/07/2019,,[01] 0.00%,Condition [Q1] Presentation of an endorsed certificate/licence : Document [U] Action [27] Apply the mentioned duty : ||Condition [Q2] Presentation of an endorsed certificate/licence : Action [07] Measure not applicable :,"CD653: (Conditions) Subject to the presentation of a proof of origin containing the following statement in English: ""Product originating in accordance with Appendix 2A of Annex II"" (OJ L 354, 21.12.2012)."
3604117,[143] Preferential tariff quota,7325000000,,01/08/2018 - 31/07/2019,,[01] 0.00%,Condition [Q1] Presentation of an endorsed certificate/licence : Document [U] Action [27] Apply the mentioned duty : ||Condition [Q2] Presentation of an endorsed certificate/licence : Action [07] Measure not applicable :,"CD653: (Conditions) Subject to the presentation of a proof of origin containing the following statement in English: ""Product originating in accordance with Appendix 2A of Annex II"" (OJ L 354, 21.12.2012)."
