SID,Measure type,Commodity,Additional code,Geography,Valid dates,Order number,Measure components,Conditions,Footnotes
3471073,[465] Restriction on entry into free circulation,2914310000,,01/07/2015,,,Condition [C1] Presentation of a certificate/licence/document : Document [L] Action [24] Entry into free circulation allowed : ||Condition [C2] Presentation of a certificate/licence/document : Action [04] The entry into free circulation is not allowed :,"CD437: (Conditions) ""Import authorization"" and ""Specific import requirements"" - see Articles 20-25 of Regulation (EC) No 111/05 (OJ L 22) implemented by Regulation (EC) No 1277/05 (OJ L 202). | TM135: (Taric Measure) The surveillance does not apply to mixtures and natural products which contain scheduled substances and which are compounded in such a way that the scheduled substances cannot be easily used or extracted by readily applicable or economically viable means, to medicinal products as defined in point 2 of Article 1 of Directive 2001/83/EC of the European Parliament and of the Council and to veterinary medicinal products as defined in point 2 of Article 1 of Directive 2001/82/EC of the European Parliament and of the Council."
3471074,[465] Restriction on entry into free circulation,2924230000,,01/07/2015,,,Condition [C1] Presentation of a certificate/licence/document : Document [L] Action [24] Entry into free circulation allowed : ||Condition [C2] Presentation of a certificate/licence/document : Action [04] The entry into free circulation is not allowed :,"CD437: (Conditions) ""Import authorization"" and ""Specific import requirements"" - see Articles 20-25 of Regulation (EC) No 111/05 (OJ L 22) implemented by Regulation (EC) No 1277/05 (OJ L 202). | TM135: (Taric Measure) The surveillance does not apply to mixtures and natural products which contain scheduled substances and which are compounded in such a way that the scheduled substances cannot be easily used or extracted by readily applicable or economically viable means, to medicinal products as defined in point 2 of Article 1 of Directive 2001/83/EC of the European Parliament and of the Council and to veterinary medicinal products as defined in point 2 of Article 1 of Directive 2001/82/EC of the European Parliament and of the Council."
3471075,[465] Restriction on entry into free circulation,2932910000,,01/07/2015,,,Condition [C1] Presentation of a certificate/licence/document : Document [L] Action [24] Entry into free circulation allowed : ||Condition [C2] Presentation of a certificate/licence/document : Action [04] The entry into free circulation is not allowed :,"CD437: (Conditions) ""Import authorization"" and ""Specific import requirements"" - see Articles 20-25 of Regulation (EC) No 111/05 (OJ L 22) implemented by Regulation (EC) No 1277/05 (OJ L 202). | TM135: (Taric Measure) The surveillance does not apply to mixtures and natural products which contain scheduled substances and which are compounded in such a way that the scheduled substances cannot be easily used or extracted by readily applicable or economically viable means, to medicinal products as defined in point 2 of Article 1 of Directive 2001/83/EC of the European Parliament and of the Council and to veterinary medicinal products as defined in point 2 of Article 1 of Directive 2001/82/EC of the European Parliament and of the Council."
3471076,[465] Restriction on entry into free circulation,2932920000,,01/07/2015,,,Condition [C1] Presentation of a certificate/licence/document : Document [L] Action [24] Entry into free circulation allowed : ||Condition [C2] Presentation of a certificate/licence/document : Action [04] The entry into free circulation is not allowed :,"CD437: (Conditions) ""Import authorization"" and ""Specific import requirements"" - see Articles 20-25 of Regulation (EC) No 111/05 (OJ L 22) implemented by Regulation (EC) No 1277/05 (OJ L 202). | TM135: (Taric Measure) The surveillance does not apply to mixtures and natural products which contain scheduled substances and which are compounded in such a way that the scheduled substances cannot be easily used or extracted by readily applicable or economically viable means, to medicinal products as defined in point 2 of Article 1 of Directive 2001/83/EC of the European Parliament and of the Council and to veterinary medicinal products as defined in point 2 of Article 1 of Directive 2001/82/EC of the European Parliament and of the Council."
3471077,[465] Restriction on entry into free circulation,2932930000,,01/07/2015,,,Condition [C1] Presentation of a certificate/licence/document : Document [L] Action [24] Entry into free circulation allowed : ||Condition [C2] Presentation of a certificate/licence/document : Action [04] The entry into free circulation is not allowed :,"CD437: (Conditions) ""Import authorization"" and ""Specific import requirements"" - see Articles 20-25 of Regulation (EC) No 111/05 (OJ L 22) implemented by Regulation (EC) No 1277/05 (OJ L 202). | TM135: (Taric Measure) The surveillance does not apply to mixtures and natural products which contain scheduled substances and which are compounded in such a way that the scheduled substances cannot be easily used or extracted by readily applicable or economically viable means, to medicinal products as defined in point 2 of Article 1 of Directive 2001/83/EC of the European Parliament and of the Council and to veterinary medicinal products as defined in point 2 of Article 1 of Directive 2001/82/EC of the European Parliament and of the Council."
3471078,[465] Restriction on entry into free circulation,2932940000,,01/07/2015,,,Condition [C1] Presentation of a certificate/licence/document : Document [L] Action [24] Entry into free circulation allowed : ||Condition [C2] Presentation of a certificate/licence/document : Action [04] The entry into free circulation is not allowed :,"CD437: (Conditions) ""Import authorization"" and ""Specific import requirements"" - see Articles 20-25 of Regulation (EC) No 111/05 (OJ L 22) implemented by Regulation (EC) No 1277/05 (OJ L 202). | TM135: (Taric Measure) The surveillance does not apply to mixtures and natural products which contain scheduled substances and which are compounded in such a way that the scheduled substances cannot be easily used or extracted by readily applicable or economically viable means, to medicinal products as defined in point 2 of Article 1 of Directive 2001/83/EC of the European Parliament and of the Council and to veterinary medicinal products as defined in point 2 of Article 1 of Directive 2001/82/EC of the European Parliament and of the Council."
3633968,[465] Restriction on entry into free circulation,2933399900,[3200] Mixtures of scheduled substances listed in the Annex to Regulation (EC) No 111/2005 that can be used for the illicit manufacture of narcotic drugs or psychotropic substances,07/07/2018,,,Condition [C1] Presentation of a certificate/licence/document : Document [L] Action [24] Entry into free circulation allowed : ||Condition [C2] Presentation of a certificate/licence/document : Action [04] The entry into free circulation is not allowed :,"CD437: (Conditions) ""Import authorization"" and ""Specific import requirements"" - see Articles 20-25 of Regulation (EC) No 111/05 (OJ L 22) implemented by Regulation (EC) No 1277/05 (OJ L 202). | TM135: (Taric Measure) The surveillance does not apply to mixtures and natural products which contain scheduled substances and which are compounded in such a way that the scheduled substances cannot be easily used or extracted by readily applicable or economically viable means, to medicinal products as defined in point 2 of Article 1 of Directive 2001/83/EC of the European Parliament and of the Council and to veterinary medicinal products as defined in point 2 of Article 1 of Directive 2001/82/EC of the European Parliament and of the Council."
3633969,[465] Restriction on entry into free circulation,2933399900,[3249] Other,07/07/2018,,,,"TM135: (Taric Measure) The surveillance does not apply to mixtures and natural products which contain scheduled substances and which are compounded in such a way that the scheduled substances cannot be easily used or extracted by readily applicable or economically viable means, to medicinal products as defined in point 2 of Article 1 of Directive 2001/83/EC of the European Parliament and of the Council and to veterinary medicinal products as defined in point 2 of Article 1 of Directive 2001/82/EC of the European Parliament and of the Council."
3471079,[465] Restriction on entry into free circulation,2939410000,,01/07/2015,,,Condition [C1] Presentation of a certificate/licence/document : Document [L] Action [24] Entry into free circulation allowed : ||Condition [C2] Presentation of a certificate/licence/document : Action [04] The entry into free circulation is not allowed :,"CD437: (Conditions) ""Import authorization"" and ""Specific import requirements"" - see Articles 20-25 of Regulation (EC) No 111/05 (OJ L 22) implemented by Regulation (EC) No 1277/05 (OJ L 202). | TM135: (Taric Measure) The surveillance does not apply to mixtures and natural products which contain scheduled substances and which are compounded in such a way that the scheduled substances cannot be easily used or extracted by readily applicable or economically viable means, to medicinal products as defined in point 2 of Article 1 of Directive 2001/83/EC of the European Parliament and of the Council and to veterinary medicinal products as defined in point 2 of Article 1 of Directive 2001/82/EC of the European Parliament and of the Council."
3471080,[465] Restriction on entry into free circulation,2939420000,,01/07/2015,,,Condition [C1] Presentation of a certificate/licence/document : Document [L] Action [24] Entry into free circulation allowed : ||Condition [C2] Presentation of a certificate/licence/document : Action [04] The entry into free circulation is not allowed :,"CD437: (Conditions) ""Import authorization"" and ""Specific import requirements"" - see Articles 20-25 of Regulation (EC) No 111/05 (OJ L 22) implemented by Regulation (EC) No 1277/05 (OJ L 202). | TM135: (Taric Measure) The surveillance does not apply to mixtures and natural products which contain scheduled substances and which are compounded in such a way that the scheduled substances cannot be easily used or extracted by readily applicable or economically viable means, to medicinal products as defined in point 2 of Article 1 of Directive 2001/83/EC of the European Parliament and of the Council and to veterinary medicinal products as defined in point 2 of Article 1 of Directive 2001/82/EC of the European Parliament and of the Council."
3471081,[465] Restriction on entry into free circulation,2939610000,,01/07/2015,,,Condition [C1] Presentation of a certificate/licence/document : Document [L] Action [24] Entry into free circulation allowed : ||Condition [C2] Presentation of a certificate/licence/document : Action [04] The entry into free circulation is not allowed :,"CD437: (Conditions) ""Import authorization"" and ""Specific import requirements"" - see Articles 20-25 of Regulation (EC) No 111/05 (OJ L 22) implemented by Regulation (EC) No 1277/05 (OJ L 202). | TM135: (Taric Measure) The surveillance does not apply to mixtures and natural products which contain scheduled substances and which are compounded in such a way that the scheduled substances cannot be easily used or extracted by readily applicable or economically viable means, to medicinal products as defined in point 2 of Article 1 of Directive 2001/83/EC of the European Parliament and of the Council and to veterinary medicinal products as defined in point 2 of Article 1 of Directive 2001/82/EC of the European Parliament and of the Council."
3471082,[465] Restriction on entry into free circulation,2939620000,,01/07/2015,,,Condition [C1] Presentation of a certificate/licence/document : Document [L] Action [24] Entry into free circulation allowed : ||Condition [C2] Presentation of a certificate/licence/document : Action [04] The entry into free circulation is not allowed :,"CD437: (Conditions) ""Import authorization"" and ""Specific import requirements"" - see Articles 20-25 of Regulation (EC) No 111/05 (OJ L 22) implemented by Regulation (EC) No 1277/05 (OJ L 202). | TM135: (Taric Measure) The surveillance does not apply to mixtures and natural products which contain scheduled substances and which are compounded in such a way that the scheduled substances cannot be easily used or extracted by readily applicable or economically viable means, to medicinal products as defined in point 2 of Article 1 of Directive 2001/83/EC of the European Parliament and of the Council and to veterinary medicinal products as defined in point 2 of Article 1 of Directive 2001/82/EC of the European Parliament and of the Council."
3471083,[465] Restriction on entry into free circulation,2939630000,,01/07/2015,,,Condition [C1] Presentation of a certificate/licence/document : Document [L] Action [24] Entry into free circulation allowed : ||Condition [C2] Presentation of a certificate/licence/document : Action [04] The entry into free circulation is not allowed :,"CD437: (Conditions) ""Import authorization"" and ""Specific import requirements"" - see Articles 20-25 of Regulation (EC) No 111/05 (OJ L 22) implemented by Regulation (EC) No 1277/05 (OJ L 202). | TM135: (Taric Measure) The surveillance does not apply to mixtures and natural products which contain scheduled substances and which are compounded in such a way that the scheduled substances cannot be easily used or extracted by readily applicable or economically viable means, to medicinal products as defined in point 2 of Article 1 of Directive 2001/83/EC of the European Parliament and of the Council and to veterinary medicinal products as defined in point 2 of Article 1 of Directive 2001/82/EC of the European Parliament and of the Council."
3518736,[465] Restriction on entry into free circulation,3824996400,[3200] Mixtures of scheduled substances listed in the Annex to Regulation (EC) No 111/2005 that can be used for the illicit manufacture of narcotic drugs or psychotropic substances,01/01/2017,,,Condition [C1] Presentation of a certificate/licence/document : Document [L] Action [24] Entry into free circulation allowed : ||Condition [C2] Presentation of a certificate/licence/document : Action [04] The entry into free circulation is not allowed :,"CD437: (Conditions) ""Import authorization"" and ""Specific import requirements"" - see Articles 20-25 of Regulation (EC) No 111/05 (OJ L 22) implemented by Regulation (EC) No 1277/05 (OJ L 202). | TM135: (Taric Measure) The surveillance does not apply to mixtures and natural products which contain scheduled substances and which are compounded in such a way that the scheduled substances cannot be easily used or extracted by readily applicable or economically viable means, to medicinal products as defined in point 2 of Article 1 of Directive 2001/83/EC of the European Parliament and of the Council and to veterinary medicinal products as defined in point 2 of Article 1 of Directive 2001/82/EC of the European Parliament and of the Council."
3518737,[465] Restriction on entry into free circulation,3824996400,[3249] Other,01/01/2017,,,,"TM135: (Taric Measure) The surveillance does not apply to mixtures and natural products which contain scheduled substances and which are compounded in such a way that the scheduled substances cannot be easily used or extracted by readily applicable or economically viable means, to medicinal products as defined in point 2 of Article 1 of Directive 2001/83/EC of the European Parliament and of the Council and to veterinary medicinal products as defined in point 2 of Article 1 of Directive 2001/82/EC of the European Parliament and of the Council."
