SID,Measure type,Commodity,Additional code,Geography,Valid dates,Order number,Measure components,Conditions,Footnotes
3607712,[143] Preferential tariff quota,0303541000,,01/03/2018 - 28/02/2019,,[01] 0.00%,Condition [Q1] Presentation of an endorsed certificate/licence : Document [U] Action [27] Apply the mentioned duty : ||Condition [Q2] Presentation of an endorsed certificate/licence : Action [07] Measure not applicable :,"CD656: (Conditions) Subject to the presentation of a proof of origin containing the following statement in English: ""Product originating in accordance with Appendix 5 of Annex II"" (OJ L 354, 21.12.2012)."
3607713,[143] Preferential tariff quota,0303551000,,01/03/2018 - 28/02/2019,,[01] 0.00%,Condition [Q1] Presentation of an endorsed certificate/licence : Document [U] Action [27] Apply the mentioned duty : ||Condition [Q2] Presentation of an endorsed certificate/licence : Action [07] Measure not applicable :,"CD656: (Conditions) Subject to the presentation of a proof of origin containing the following statement in English: ""Product originating in accordance with Appendix 5 of Annex II"" (OJ L 354, 21.12.2012)."
3607714,[143] Preferential tariff quota,0303559010,,01/03/2018 - 28/02/2019,,[01] 0.00%,Condition [Q1] Presentation of an endorsed certificate/licence : Document [U] Action [27] Apply the mentioned duty : ||Condition [Q2] Presentation of an endorsed certificate/licence : Action [07] Measure not applicable :,"CD656: (Conditions) Subject to the presentation of a proof of origin containing the following statement in English: ""Product originating in accordance with Appendix 5 of Annex II"" (OJ L 354, 21.12.2012)."
3607715,[143] Preferential tariff quota,0303591000,,01/03/2018 - 28/02/2019,,[01] 0.00%,Condition [Q1] Presentation of an endorsed certificate/licence : Document [U] Action [27] Apply the mentioned duty : ||Condition [Q2] Presentation of an endorsed certificate/licence : Action [07] Measure not applicable :,"CD656: (Conditions) Subject to the presentation of a proof of origin containing the following statement in English: ""Product originating in accordance with Appendix 5 of Annex II"" (OJ L 354, 21.12.2012)."
3607716,[143] Preferential tariff quota,0307439100,,01/03/2018 - 28/02/2019,,[01] 0.00%,Condition [Q1] Presentation of an endorsed certificate/licence : Document [U] Action [27] Apply the mentioned duty : ||Condition [Q2] Presentation of an endorsed certificate/licence : Action [07] Measure not applicable :,"CD656: (Conditions) Subject to the presentation of a proof of origin containing the following statement in English: ""Product originating in accordance with Appendix 5 of Annex II"" (OJ L 354, 21.12.2012)."
3607717,[143] Preferential tariff quota,0307495000,,01/03/2018 - 28/02/2019,,[01] 0.00%,Condition [Q1] Presentation of an endorsed certificate/licence : Document [U] Action [27] Apply the mentioned duty : ||Condition [Q2] Presentation of an endorsed certificate/licence : Action [07] Measure not applicable :,"CD656: (Conditions) Subject to the presentation of a proof of origin containing the following statement in English: ""Product originating in accordance with Appendix 5 of Annex II"" (OJ L 354, 21.12.2012)."
3607718,[143] Preferential tariff quota,1604151100,,01/03/2018 - 28/02/2019,,[01] 0.00%,Condition [Q1] Presentation of an endorsed certificate/licence : Document [U] Action [27] Apply the mentioned duty : ||Condition [Q2] Presentation of an endorsed certificate/licence : Action [07] Measure not applicable :,"CD656: (Conditions) Subject to the presentation of a proof of origin containing the following statement in English: ""Product originating in accordance with Appendix 5 of Annex II"" (OJ L 354, 21.12.2012)."
3607719,[143] Preferential tariff quota,1604151900,,01/03/2018 - 28/02/2019,,[01] 0.00%,Condition [Q1] Presentation of an endorsed certificate/licence : Document [U] Action [27] Apply the mentioned duty : ||Condition [Q2] Presentation of an endorsed certificate/licence : Action [07] Measure not applicable :,"CD656: (Conditions) Subject to the presentation of a proof of origin containing the following statement in English: ""Product originating in accordance with Appendix 5 of Annex II"" (OJ L 354, 21.12.2012)."
3607720,[143] Preferential tariff quota,1604159000,,01/03/2018 - 28/02/2019,,[01] 0.00%,Condition [Q1] Presentation of an endorsed certificate/licence : Document [U] Action [27] Apply the mentioned duty : ||Condition [Q2] Presentation of an endorsed certificate/licence : Action [07] Measure not applicable :,"CD656: (Conditions) Subject to the presentation of a proof of origin containing the following statement in English: ""Product originating in accordance with Appendix 5 of Annex II"" (OJ L 354, 21.12.2012)."
3607721,[143] Preferential tariff quota,1604160000,,01/03/2018 - 28/02/2019,,[01] 0.00%,Condition [Q1] Presentation of an endorsed certificate/licence : Document [U] Action [27] Apply the mentioned duty : ||Condition [Q2] Presentation of an endorsed certificate/licence : Action [07] Measure not applicable :,"CD656: (Conditions) Subject to the presentation of a proof of origin containing the following statement in English: ""Product originating in accordance with Appendix 5 of Annex II"" (OJ L 354, 21.12.2012)."
