"090919","P1900030","FCFS","143 Preferential tariff quota","CH","","2019-04-13","FCFS Quota number 090919 for geography CH : Switzerland on hams of domestic swine, in brine, boneless, enclosed in a bladder or in an artificial gut meat of domestic swine, boneless, from chop, smoked sausages and similar products, of meat, meat offal or blood; food preparations based on these products, of animals of headings, excluding wild boars pork neck, dried in air, seasoned or not, whole, in pieces or thinly sliced","N"
"090921","P1900030","FCFS","143 Preferential tariff quota","CH","","2019-04-13","FCFS Quota number 090921 for geography CH : Switzerland on seed potatoes, fresh or chilled","N"
"090922","P1900030","FCFS","143 Preferential tariff quota","CH","","2019-04-13","FCFS Quota number 090922 for geography CH : Switzerland on tomatoes, fresh or chilled","N"
"090923","P1900030","FCFS","143 Preferential tariff quota","CH","","2019-04-13","FCFS Quota number 090923 for geography CH : Switzerland on onions, fresh or chilled","N"
"090924","P1900030","FCFS","143 Preferential tariff quota","CH","","2019-04-13","FCFS Quota number 090924 for geography CH : Switzerland on cabbages and the like, fresh or chilled","N"
"090925","P1900030","FCFS","143 Preferential tariff quota","CH","","2019-04-13","FCFS Quota number 090925 for geography CH : Switzerland on lettuce and chicory, fresh or chilled","N"
"090926","P1900030","FCFS","143 Preferential tariff quota","CH","","2019-04-13","FCFS Quota number 090926 for geography CH : Switzerland on carrots and turnips, fresh or chilled","N"
"090927","P1900030","FCFS","143 Preferential tariff quota","CH","","2019-04-13","FCFS Quota number 090927 for geography CH : Switzerland on edible root vegetables, fresh or chilled","N"
"090928","P1900030","FCFS","143 Preferential tariff quota","CH","","2019-04-13","FCFS Quota number 090928 for geography CH : Switzerland on cucumbers, fresh or chilled","N"
"090929","P1900030","FCFS","143 Preferential tariff quota","CH","","2019-04-13","FCFS Quota number 090929 for geography CH : Switzerland on beans, fresh or chilled","N"
"090930","P1900030","FCFS","143 Preferential tariff quota","CH","","2019-04-13","FCFS Quota number 090930 for geography CH : Switzerland on aubergines, fresh or chilled","N"
"090931","P1900030","FCFS","143 Preferential tariff quota","CH","","2019-04-13","FCFS Quota number 090931 for geography CH : Switzerland on celery, fresh or chilled","N"
"090932","P1900030","FCFS","143 Preferential tariff quota","CH","","2019-04-13","FCFS Quota number 090932 for geography CH : Switzerland on spinach, fresh or chilled","N"
"090933","P1900030","FCFS","143 Preferential tariff quota","CH","","2019-04-13","FCFS Quota number 090933 for geography CH : Switzerland on salad vegetables, fresh or chilled","N"
"090934","P1900030","FCFS","143 Preferential tariff quota","CH","","2019-04-13","FCFS Quota number 090934 for geography CH : Switzerland on fennel, fresh or chilled","N"
"090935","P1900030","FCFS","143 Preferential tariff quota","CH","","2019-04-13","FCFS Quota number 090935 for geography CH : Switzerland on courgettes, fresh or chilled","N"
"090936","P1900030","FCFS","143 Preferential tariff quota","CH","","2019-04-13","FCFS Quota number 090936 for geography CH : Switzerland on other vegetables, fresh or chilled","N"
"090937","P1900030","FCFS","143 Preferential tariff quota","CH","","2019-04-13","FCFS Quota number 090937 for geography CH : Switzerland on apples, other than cider apples, fresh","N"
"090938","P1900030","FCFS","143 Preferential tariff quota","CH","","2019-04-13","FCFS Quota number 090938 for geography CH : Switzerland on pears and quinces, fresh","N"
"090939","P1900030","FCFS","143 Preferential tariff quota","CH","","2019-04-13","FCFS Quota number 090939 for geography CH : Switzerland on apricots, fresh","N"
"090940","P1900030","FCFS","143 Preferential tariff quota","CH","","2019-04-13","FCFS Quota number 090940 for geography CH : Switzerland on sweet cherries, fresh","N"
"090941","P1900030","FCFS","143 Preferential tariff quota","CH","","2019-04-13","FCFS Quota number 090941 for geography CH : Switzerland on plums and sloes, fresh","N"
"090942","P1900030","FCFS","143 Preferential tariff quota","CH","","2019-04-13","FCFS Quota number 090942 for geography CH : Switzerland on raspberries, fresh","N"
"090943","P1900030","FCFS","143 Preferential tariff quota","CH","","2019-04-13","FCFS Quota number 090943 for geography CH : Switzerland on blackberries, mulberries and loganberries, fresh","N"
"090944","P1900030","FCFS","143 Preferential tariff quota","CH","","2019-04-13","FCFS Quota number 090944 for geography CH : Switzerland on flour, meal and powder of bananas","N"
"090945","P1900030","FCFS","143 Preferential tariff quota","CH","","2019-04-13","FCFS Quota number 090945 for geography CH : Switzerland on potatoes","N"
